question,answer
"The Ministry of Public Security let me ask, when seeing an ambulance signaling the means of means of giving way, if the case in the front is stopping waiting for the red light, and it is imperative to pass the red light to give way to the ambulance, will it be punished to pass the red light?","According to Clause 1, Article 22 of the 2008 Road Traffic Law, ambulance is performing emergency tasks as one of the five types of vehicles given priority when participating in traffic.Clause 3 of this Article also stipulates that when the vehicle's signal is prioritized on the travel route, the traffic participants must quickly reduce the speed, avoid or stop close to the right side of the road to give the way, not to hinder the vehicle with the priority.

Clause 1, Article 11 of the 2012 Law on Handling of Administrative Violations (amended and supplemented by 2020) stipulates that cases of committing administrative violations in an urgent situation shall not be sanctioned for administrative violations (an urgent situation is the situation of individuals and organizations because they want to avoid a risk that is threatening the interests of the State, organizations, rights and interests of their own or other people who do not cause any other damage).In addition, Point dd Clause 1, Article 3 of the Law on Handling of Administrative Violations in 2012 (amended and supplemented by 2020) also stipulates that individuals and organizations are sanctioned for administrative violations with the right to themselves or through the legal representative proving that they do not violate administrative.

Thus, the case that reader Nguyen Minh Hoang asked, based on the above provisions, drivers of vehicles that violate ""not obeying the order of traffic lights"" will not be handled administrative violations.However, the driver of the violating vehicle or the legal representative of the driver of the vehicle must prove that the failure to obey the traffic lights is in case of an urgent case to give way to ambulance to the patient's emergency duty and the process of giving way must ensure the safety of vehicles being circulating on the road."
"Recently, I have found that more and more license plates, shading, even fake colors and fake registration information of cars to avoid being tolled at toll booths that do not stop or avoid ""cold penalties"", making it difficult for real car owners.About this, the Ministry of Public Security let me ask some of the following:
- How will the behavior mentioned above are discovered?
- In case the driver uses a fake license plate that violates traffic but is ""cold fines"", resulting in a real car owner who is fined when registering, how does the car owner actually handle this?","-Point a, Clause 6, Article 16 of the Government's Decree No. 100/2019/ND-CP of December 30, 2019, stipulating sanctions for administrative violations in the field of road and rail transport (amended and supplemented in Decree No. 123/2021/ND-CP dated December 28, 2021 of the Government) stipulating: A fine of from VND 4,000,000 to VND 6,000,000 for car drivers who are not in accordance with the license plates or not plates with the number of vehicles without a license plate, which is not in accordance with the license plate or not the license plategrant.In addition, the violator is confiscated in contravention of regulations and deprived of the right to use the driver's license from 01 to 03 months as prescribed at Point c, Clause 8 of this Article.

- For the question ""In case the driver uses a fake number plate that violates traffic and is"" cold fines "", leading to a real car owner when registering, the owner of the car must handle this?

When detecting administrative violations by professional technical equipment and equipment but failing to stop the vehicle for control and handling, the traffic police force determines information about vehicles and vehicles through the car registration agency and national database on population;send a notice requesting the owner of the vehicle to the police office to resolve the case.When the vehicle owner went to the police office to resolve the case, the competent person was responsible for verifying the details of the case to handle objective violations of objective administrative, the right subjects and in accordance with the law.On the side of the vehicle owner, based on Point d, Clause 1, Article 3 of the Law on Handling of Administrative Violations in 2012 (amended and supplemented by 2020) has the right to themselves or through the legal representative that proves that they do not violate administrative."
"I see many cases of cars stickers ""press"", ""dike"" cars ... because of the priority to ignore violations when participating in traffic.I want to ask the Ministry of Public Security, according to the current law, how is the list of priority vehicles prescribed?In case the vehicle is not given priority but installing and using the priority signal devices will be sanctioned?","- Article 22 of the 2008 Road Traffic Law stipulates that there are 5 priority vehicles, including: Fire vehicles on duty;Military vehicles, police vehicles on emergency duty, convoy have police guards;Ambulance is performing emergency duties;Vehicles of dikes and vehicles on duty to overcome natural disasters, epidemics or vehicles on duty in an emergency state in accordance with the law;Funeral convoy.
- Article 1 of the Government's Decree 109/2009/ND-CP dated December 1, 2009, stipulating the signal of the vehicle with the priority that prescribes the vehicle's signal transmitter to be prioritized, including: priority signal horn;Priority flag;Priority signal lamp.
In case the driver of the car is not given priority but installing and using the above priority signals, it will be sanctioned according to Article 5 of the Government's Decree No. 100/2019/ND-CP of December 30, 2019 on sanctioning administrative violations in the field of road and railway transport.Specifically, at Point e, Clause 2, Article 5 stipulates that the following behavior will be fined from VND 400,000 to VND 600,000: The vehicle is prioritized for the installation and use of a priority signal transmission device that is not in accordance with the regulations or the use of a priority signal transmitter without a permit from the competent authority or has a license of the competent authority but is no longer valid as prescribed."
"Through tracking the press, I found that recently the functional forces continuously checked and discovered drivers using the Certificate of fake registry and fake registration stamps to participate in traffic.I want to ask the Ministry of Public Security, how will the above behavior be handled?","The act of using the inspection certificate, the fake test stamp when participating in traffic may be handled as follows:

Regarding administrative handling, in Clause 5, Article 16, Decree 100/2019/ND-CP (amended and supplemented by Clause 9, Article 2 of Decree 123/2021/ND-CP) stating: A fine of between VND 4,000,000 and VND 6,000,000 shall be imposed for acts of ""using vehicle registration papers, certificates, technical safety inspection stamps and environmental protection without being granted by competent authorities;Use the car registration certificate not the right frame number, the engine number of the vehicle (including trailers and trailers) ”.In addition, according to the provisions of Point c, Clause 6, Article 16, in addition to being fined, the driver of the vehicle committing the violation is also applied the following additional sanctions: “Performing acts specified at Point d, Point dd, Clause 5 of this Article is confiscated certificates, technical safety inspection stamps and environmental protection, vehicle registration certificates, not plate numbers are not in accordance with regulations or erased;Be deprived of the right to use the driving license from 01 month to 03 months ”.

Regarding criminal handling, in accordance with Article 341 of the 2015 Penal Code (amended and supplemented in 2017), the above act may be criminally handled for fake seals and documents of agencies and organizations;Crime of using fake seals and documents of agencies and organizations, specifically as follows:

""Article 341. Crime of counterfeiting seals and documents of agencies and organizations;Crime of using fake seals and documents of agencies and organizations

1

2. The crime belongs to one of the following cases, the imprisonment is from 02 years to 05 years:

a) Organized;

b) Committing criminals 2 times or more;

c) Made from 02 to 05 seals, documents or other papers;

d) Using seals, documents or other papers to commit crimes;

d) Inminbly profitable VND 10,000,000 to less than VND 50,000,000;

e) dangerous recidivism.

3. The crime belongs to one of the following cases, the imprisonment is from 03 years to 07 years:

a) Make 06 seals, documents or other papers or more;

b) Using seals, documents or other papers committing very serious crimes or particularly serious crimes;

c) Inventional benefits of VND 50,000,000 or more.

4. Offenders may also be fined from VND 5,000,000 to VND 50,000,000 ”."
"Currently, on the internet, there are many types of cheap alcohol meters, many people have bought themselves to use themselves.The Ministry of Public Security let me ask, can people use an unknown alcohol meter to control the results with the alcohol meter of the functional force?What is the use of alcohol content meter based on?","- The use of professional technical equipment and equipment (including alcohol content measurement in the breath) to detect administrative violations prescribed in Article 64 of the Law on Handling Administrative Violations in 2012 (amended and supplemented by 2020) and Decree No. 135/2021/ND-CP dated December 31, 2021 of the Government regulating the list, management, use of technical and technical equipment from the collection of equipment and equipment, the collection of equipment and equipmenttechnically provided by individuals and organizations to detect administrative violations.
- Article 16 of Decree 135/2021/ND-CP stipulates that individuals and organizations may provide data from vehicles and technical equipment obtained by their agencies, units and persons with competent sanctions.If the data meets the requirements specified in Article 17 of Decree No. 135/2021/ND-CP, it is used as a basis for verification, detection of violations and sanctioning administrative violations in accordance with law.Individuals and organizations providing data must take responsibility before the law for the authenticity and intact of the data provided and cooperated with the competent authority to settle when required."
"Recently, the press reflected that the functional forces detected many cases of cars over the expiry date and overdue registration still participated in traffic.I want to ask the Ministry of Public Security, in case of controlling cars over the expiry date or overdue if it is found to be handled?","Currently, the sanctioning of administrative violations for violations of driving cars in the expiry date of traffic;Having a certificate or technical safety test stamp and environmental protection but has expired the expiry date specified in the Government's Decree No. 100/2019/ND-CP of December 30, 2019, stipulating administrative sanctions in the field of road and rail transport (amended and supplemented in Decree No. 123/2021/ND-CP dated December 28, 2021 of the Government), specifically:
1. For acts of controlling cars in the expiry date of traffic:
- Penalty for vehicle drivers: At Point b, Clause 7, Article 16 stipulates a fine of between VND 10,000,000 and VND 12,000,000 for violations of vehicle control (including trailers and trailers) over the time of use of traffic (for vehicles with expiry date).In addition, the violator is confiscated (except for the case of cars of 10 seats or more, passenger transport business with the expiry date exceeding the regulations on business conditions of the registered business but less than 20 years from the year of manufacturing, cars under 10 seats of passenger transport business) and deprived the right to use the driving license from 01 month to 03 months.
- Penalty for vehicle owners: At Point d, Clause 8, Article 30 stipulates a fine of between VND 4,000,000 and VND 6,000,000 for individuals, from VND 8,000,000 to VND 12,000,000 for organizations who are car owners who commit violations of transporting vehicles in the expiry date of traffic, except for violations specified at Point i, Clause 6, Article 28 of this Decree.In addition, violators are confiscated vehicles;In case the vehicle owner is the person who directly operates the vehicle, he is also deprived of the right to use the driver's license from 01 month to 03 months.
2. For acts of controlling a car with a certificate or a technical safety test stamp and environmental protection but has expired:
- Penalty for vehicle drivers:
+ At Point a, Clause 5, Article 16 stipulates: A fine of between VND 3,000,000 and VND 4,000,000 shall be imposed for violations of vehicles with certificates or technical safety inspection stamps and environmental protection but have expired for less than 01 month (including trailers and trailers).In addition, violators are deprived of the right to use the driver's license from 01 month to 03 months.
+ At Point c, Clause 6, Article 16 stipulates: A fine of between VND 4,000,000 and VND 6,000,000 shall be imposed for violations of vehicle control with certificates or technical safety inspection stamps and environmental protection but have expired for 01 month or more (including trailers and trailers).In addition, violators are deprived of the right to use the driver's license from 01 month to 03 months.
- Punishment for vehicle owners:
+ At Point b, Clause 8, Article 30 stipulates: A fine of between VND 4,000,000 and VND 6,000,000 for individuals, from VND 8,000,000 to VND 12,000,000 for organizations who are car owners who commit violations of motor vehicles with certificates or technical safety inspection stamps and environmental protection (for vehicles with prescribed vehicles that have to be tested) but have expired to participate in trailers (including trailers).In addition, in case the vehicle owner is the person who directly operates the vehicle, he is deprived of the right to use the driver's license from 01 month to 03 months.
+ At Point c, Clause 9, Article 30 stipulates: A fine of between VND 6,000,000 and VND 8,000,000 for individuals, from VND 12,000,000 to VND 16,000,000 for organizations who are car owners who commit violations of motor vehicles with certificates or technical safety inspection stamps and environmental protection (for vehicles with prescribed vehicles that have to be tested) but have expired from 1 month or up to 1 month.In addition, in case the vehicle owner is the person who directly operates the vehicle, he is deprived of the right to use the driver's license from 01 month to 03 months."
"I find that the situation of middle school students using motorbikes and motorcycles is increasing, because there is no sufficient knowledge of the Road Traffic Law and motorbike and motorbike driving training, they often violate, even run and oppose the person on duty.The Ministry of Public Security asked, in case the person under 16 years of violation of the Road Traffic Law and the opposition to the person on duty will be handled like?In the coming time, what measures are the Ministry of Public Security to prevent the above situation?","1. General regulations on handling administrative violations for people under 16 years old
- Law on handling administrative violations in 2012 (amended and supplemented by 2020):
At Point a, Clause 1, Article 5 stipulates: ""People from 14 years old to under 16 years of age are sanctioned for administrative violations for intentional violations"".
In Article 22 of the provisions: ""The warning is applied to individuals and organizations that violate administrative violations, which are not seriously reduced, with extenuating circumstances and as prescribed, the form of warning sanctioning or for all administrative violations by minors from full 14 years old to under 16 years old"".
Clause 3, Article 134 stipulates: ""In case a person from full 14 years old to under 16 years of age violate is not applied.""
In addition, Article 138, Article 139, Article 140 and Article 140a also stipulates alternative measures to handle administrative violations for people under 16 years of age: reminders, home management and community -based education.
- In Clause 2, Article 25 of Decree No. 118/2021/ND-CP of December 23, 2021 of the Government detailing a number of articles and measures to implement the Law on Handling of Administrative Violations stipulating: “Before deciding to sanction warnings against minors violating administrative violations, the sanctioning authority must consider the application conditions prescribed in Article 139 of the Law on administrative violations and Article 26 of this Decree.Pointing out a decision to sanction warnings to minors when there are not enough conditions to apply reminders. ”
2. Regulations on sanctioning administrative violations in the field of road traffic for people under 16 years old in Decree No. 100/2019/ND-CP of December 30, 2019 of the Government on sanctioning administrative violations in the field of road and rail transport (amended and supplemented in Decree No. 123/2021/ND-CP of December 28, 2021 of the Government):
Clause 1, Article 21 stipulates: ""A warning penalty from full 14 years to under 16 years old driving motorbikes and mopeds (including electric motorbikes) and similar vehicles or cars, tractors and vehicles similar to cars"".
Besides, at Points d, Clause 5 and Point h, Clause 8, Article 30 stipulates: A fine of from VND 800,000 to VND 2,000,000 for individuals, from VND 1,600,000 to VND 4,000,000 for organizations as motorbike owners, motorbikes, vehicles similar to motorbikes and a fine of between VND 4,000,000 and VND 6,000,000 for individuals, from VND 8,000,000 to VND 12,000,000 for car owners, vehicles, car owners, vehicles, vehicles, vehicles, vehicles, vehicles, vehicles, vehicles, vehicles, vehiclesCurrently, the act of handing over the vehicle or letting people not eligible as prescribed in Clause 1, Article 58 of the Road Traffic Law on the vehicle participating in traffic.
3. Regulations on sanctions for people under 16 years old against officials on duty:
- Based on the provisions of Article 12 of the 2015 Penal Code (amended and supplemented in 2017), people from 14 years old to under 16 years of age are not criminally responsible for the crime of fighting against officials.However, it may be applied to administrative administrative handling measures in communes, wards and townships in the case specified in Clause 2, Article 90 of the Law on Handling of Administrative Violations in 2012 (amended and supplemented by 2020): ""People from 14 years old to under 16 years of committing acts have signs of a serious crime due to intentionally prescribed in the Criminal Code"".
- In case of people from full 14 years old to under 16 years of committing an act of administrative violations obstructing and against the inspection, examination and control of officials on duty prescribed in Article 21 of Decree No. 144/2021/ND-CP of December 31, 2021 of the Government on sanctioning administrative violations in the field of security, order and social safety;prevention and control of social evils;fire protection and prevention;rescue and rescue;Prevention and control of domestic violence shall not be fined but shall be penalized according to the provisions of Clause 3, Article 134 and Article 22 of the Law on Handling of Administrative violations in 2012 (amended and supplemented by 2020) above.
4. In the coming time, the Ministry of Public Security will continue to direct the units to strictly implement the provisions of the law related to minors according to the principle of handling administrative violations to ensure the best benefits for minors and only be implemented in case of need for education, help them to correct mistakes, develop healthy and become useful citizens for society;Strengthen legal and educational propaganda measures in communes, wards and townships suitable to each subject and age to raise awareness.In addition, the Ministry of Public Security directs the grassroots police to coordinate with the school and family in the management and education, contributing to raising the awareness of law observance for minors."
"Recently, ambulance is carrying serious patients in critical condition from Tuyen Quang to Viet Duc Hospital, Hanoi for emergency treatment.On the way, a truck appeared continuously, refusing to give way to ambulance (although the ambulance continuously signaled the siren).This behavior causes great pressing in public opinion.The Ministry of Public Security asked me, how will the act of not giving way to ambulance will be handled?In what extent, the violation is examined for penal liability?","1. The priority of the ambulance is specified at Point c, Clause 1, Article 22 of the 2008 Road Traffic Law, whereby the ambulance is performing the emergency task with the priority the priority of other vehicles when crossing the intersection from any direction.When the signal of the vehicle is prioritized, traffic participants must quickly slow down, avoid or stop close to the right side of the road to give way, not to hinder the vehicle with the priority.
2. Pursuant to Article 3, Article 8, Article 15 of the Government's Decree 109/ND-CP dated December 1, 2009, stipulating the signal of the vehicle with priority;Article 4 of Joint Circular No. 04/2012/TTLT-BCA-BCT dated March 8, 2012 of the Ministry of Public Security and the Ministry of Industry and Trade stipulating that the vehicle's signal device is prioritized, the ambulance is entitled to priority when ensuring the following requirements: currently carrying out emergency tasks (carrying emergency patients or taking emergency patients), which must be installed and have a license to use the vehicle with the right to use the vehicle with the right to use the vehicle.grant.
3. For acts of not giving way to the vehicle with the priority, it is giving priority signals to go on duty: Based on the provisions of Point h, Clause 5, Article 5;Point b, Clause 11, Article 5 of Decree No. 100/2019/ND-CP dated December 30, 2019, stipulating sanctioning administrative violations in the field of road and rail transport will be fined from 3,000,000 VND to 5,000,000 VND and deprived of the right to use the driving license from 01 to 03 months.
Therefore, in order to sanction administrative violations for drivers of truck vehicles as in the above case, the following factors must be identified: The ambulance has a license to use the signal transmission device of the vehicle with the priority (the ambulance is legal operation), is on emergency duty, is using priority signals (whistle, priority lights) and proves the act of intentionally not the vehicle of the driver.
4. In order to investigate the criminal liability for this act, it is necessary to base on many details and factors and must be intentional acts, causing particularly serious consequences according to the verification survey results of the Investigation Police Agency and Procuracy."
"Currently, the situation of the car causing the accident that the vehicle is not owned by the driver quite a lot;Mainly cars of transport business companies hire drivers.The Ministry of Public Security asked, according to the current regulations, the owner of the vehicle, the head of the transport business unit with drivers and vehicles causing serious traffic accidents will be responsible?In case of how, the criminal prosecution is examined?","Pursuant to Article 601 of the 2015 Civil Code, the means of transport is a high source of danger, whereby the owner of the high -level danger source is possessing and using the height of the height, it is necessary to compensate for damage caused by the height of danger;If the owner has given to others to possess or use, this person must pay compensation, except for other agreements.The owner, the person who possesses and uses the source of danger to compensate the damage both when there is no fault, unless the damage occurs completely due to the intentional fault of the victim or the damage occurs in the case of force majeure or urgent situation, unless otherwise prescribed by law.
Depending on the specific case, the owner of the vehicle, the head of the transport business unit with drivers and vehicles causing traffic accidents will be examined for penal liability as prescribed in Articles 263, 264 of the Penal Code 2015."
"Recently, the public was very urgent because the incident of the couple helped people having traffic accidents in Van Don, Quang Ninh but were accused of being an accident.Regarding this, the Ministry of Public Security let me ask some of the following:
- If after helping people who have a traffic accident but are accused of being an accident, what do the helpers themselves do?What solutions do the police have to avoid wrongdoing in cases like this?
- In case of seeing a person in a traffic accident without helping, how will it be handled?","- Regarding the content, ""If after helping people who have a traffic accident but is accused of being an accident, what does the help himself do?What solutions do the police have to avoid wrongdoing in cases like this?""
Article 38 of the 2008 Road Traffic Law stipulates the responsibilities of individuals, agencies and organizations when the traffic accident occurs as follows:
“(1) The driver of the vehicle and the people involved directly on the following responsible accident: a) Stop the vehicle immediately;maintain the scene;emergency person in victims and must be present when competent authorities require;b) Staying at the occurrence of the accident until the police of the police arrived, unless the driver was also injured, he had to take them to emergency or had to take the victim to emergency or for life -threatening reasons, but to report to the nearest police office;c) Provide authentic information about the accident to the competent authority.
(2) The people present at the place where the accident happens: a) Protect the scene;b) Help and promptly treat victims;c) To immediately report to the nearest police, health or People's Committee;d) Protect the property of the victim;d) Provide authentic information about the accident at the request of the competent authority.
(3) The driver of other vehicles when passing the occurrence of the accident is responsible for transporting the victim to emergency.The vehicles are given priority, vehicles carrying people are entitled to preferential, diplomatic exemptions and consulars that are not required to implement the provisions of this Clause.
(4) The police agency receives the news about the accident that is responsible for sending people to the scene immediately to investigate the accident, coordinate with the road management agency and the local People's Committee to ensure smooth and safe traffic ... ""
Thus, based on the above provisions, the driver of the vehicle and those involved directly on the accident or the person present at the place where the traffic accident must immediately report the information of the traffic accident to the police office, health agency or the nearest People's Committee, and are responsible for coordinating the provision of authentic information about the traffic accident to the traffic accident.Regarding the accident, he was responsible for sending people to the scene to investigate the accident.
The investigation and settlement of traffic accidents of the police agency shall be conducted in accordance with the law and regulations of the Ministry of Public Security on the investigation and settlement of traffic accidents.In the process of investigating, verifying and resolving traffic accidents and detecting people who have slandered others for bad purposes, based on the level of causing the consequences of violations to conduct handling in accordance with law.
- Regarding the content, ""If you see a traffic accident without helping, how will it be handled according to the regulations?""
Clause 18, Article 8 and Article 38 of the 2008 Road Traffic Law stipulates the help of people in traffic accidents.Based on the specific level of causing damage of violations to help people in traffic accidents to handle as follows:
+ A fine of from VND 500,000 to VND 1 million for individuals, from VND 1-2 million for organizations that do not save people in traffic accidents when required (Point a, Clause 7, Article 11 of Decree 100/2019/ND-CP).
+ Not saving people who are in life -threatening state can also be handled according to criminal law (Article 132 of the 2015 Penal Code amended and supplemented in 2017 providing for not saving people in a life -threatening state)."
"I went to participate in traffic on the road, saw many cases of cars carrying 02 license plates (at this sea, when overturning the sea) to evade the control of the authorities.The Ministry of Public Security asked me, in case of using fake license plates to participate in traffic if discovered how will it be handled?","On December 30, 2019, the Government issued Decree No. 100/2019/ND-CP on sanctioning administrative violations in the field of road and rail transport;In particular, at Point d, Clause 5, Article 16 stipulates: ""A fine of between VND 4,000,000 and VND 6,000,000 shall be imposed for acts of controlling a license plate with a license plate that is not in accordance with the vehicle registration certificate or the number plate is not issued by the competent authority (including trailers and trailers).

At Point c, Clause 6, Article 16 stipulates: “In addition to being fined, the driver of the vehicle performs the acts specified at Point d, Point d, Clause 5 of this Article is confiscated the certificate, technical safety inspection stamps and environmental protection, vehicle registration certificates, license plates in contravention of regulations or being erased;Be deprived of the right to use the driver's license from 01 month to 03 months. ”

Thus, in case the driver of a car is attached to the license plate, which is not in accordance with the vehicle registration certificate or the number plate is not issued by the competent authority to participate in traffic, it will be fined from VND 4,000,000 to VND 6,000,000;confiscated number plates in contravention of regulations;Being deprived of the right to use the driving license from 01 month to 03 months."
"Recently, I was carrying goods by motorbike, while circulating when the traffic police stopped the vehicle due to bulky cargo violations, lack of vehicle registration and into the forbidden road.After that, I was administratively sanctioned and kept by a vehicle with a 30 -day driver's license, so far over 06 months but I have not paid a fine to get back the vehicle and license.I want to ask the Ministry of Public Security, now I have to pay a fine, can I receive a vehicle and a driver's license?If not, what procedures do I have to do to get the vehicle and license?","Clause 1, Article 73 of the 2012 Law on Handling of Administrative Violations: “Individuals and organizations that are sanctioned for administrative violations must comply with the sanctioning decision within 10 days from the date of receiving the decision on sanctioning administrative violations;In case the decision on sanctioning administrative violations shall be recorded for more than 10 days, shall be implemented according to that time limit ”.
Clause 1, Article 78 of the 2012 Law on Handling of Administrative Violations stipulates: “Within 10 days from the date of receiving the sanctioning decision, the sanctioned individual or organization must pay a fine at the State Treasury or submit it to the State Treasury's account stated in the sanctioning decision, except for the case that has paid the fine specified in Clauses 2 and 3 of this Article.If past the above time limit, it will be enforced to enforce the sanctioning decision and every day of delayed fines, individuals and organizations of violations must pay an additional 0.05% of the total amount of unpaid fines ”.
Clause 4, Article 126 of the 2012 Law on Handling of Administrative Violations stipulates: “For material evidences and means of administrative violations beyond the custody time limit if the violator does not come to receive without plausible reasons or in case the violator cannot be determined, the person who makes the temporary detention decision must notify on the mass media and publicly listed at the headquartersWithin 30 days from the date of notice and public listing, if the violator does not come to receive it, the competent person must issue a decision to confiscate material evidences and means of administrative violations for handling in accordance with Article 82 of this Law. ""
Proposing Nguyen Quang Hung to go to the agency of the person competent to sanction administrative violations for guidance."
"I know, according to the regulations, people who are full 16 years or older can drive a motorbike with a cylinder capacity of less than 50 cm3.I would like to ask the Ministry of Public Security, in case the person who is under 16 years old drives a motorbike with a cylinder capacity of less than 50 cm3 without wearing a helmet, wriggling hammock causing collision with other vehicles participating in traffic, how is it sanctioned?In addition, the owner of a motorbike for a person who is under 16 years old borrowed a car was punished?","Point a, Clause 1, Article 5 and Clause 3, Article 134 of the Law on Handling of Administrative Violations stipulates: People from 14 years old to 16 years old are administratively sanctioned on administrative violations due to intentional.In case a person from full 14 years old to under 16 years of age violates administrative violations, the fine is not applied.
Article 22 of the Law on Handling of Administrative Violations stipulates: Warning applied ... For all administrative violations by minors from full 14 years old to under 16 years old ... Article 21 of the Government's Decree No. 100/2019/ND-CP of December 30, 2019 on sanctioning administrative violations in the field of road and railway traffic stipulating: Warning of people from 14 years old, motorbikes, including motorbikes, including motorcycles, including motorcycles, including motorcycles, including motorcycles, including motorcycles, including motorcycles, including motorcycles, including motorcycles, including motorcycles)Motorcycle.
Thus, the case from full 14 years old to under 16 years old driving a motorbike with a cylinder capacity of less than 50 cm3 without wearing a helmet, wriggling hammock causes collision with other vehicles as readers ask, based on the above regulations, the warning is sanctioned in writing.
For vehicle owners to hand over to people from full 14 years old to under 16 years of age, based on Point dd, Clause 5, Article 30 of the Government's Decree No. 100/2019/ND-CP of December 30, 2019, on sanctioning administrative violations in the road transport sector, they will be fined from VND 800,000 to VND 2,000,000 (if individual) and a fine of between VND 1,600,000 to VND 4,000,000 (if organized)."
"Proposing the Ministry of Public Security to promulgate the Regulation on operational regulations on functions and tasks to create the initiative for the traffic police force, district and district order in patrol and handling of cases of violations to stop and pick up passengers in the wrong places, affecting traffic order and safety;Building a system of information linkages on violations of traffic police forces to update information of violations of administrative violations.","In this regard, the Ministry of Public Security answered as follows:

- Regarding the functions, tasks, powers to patrol and control the handling of violations of traffic order and safety (traffic safety) of the traffic police (traffic police) specified in Circular No. 65/2020/TT-BCA dated June 19, 2020 of the Minister of Public Security.Accordingly, the district -level police police are responsible for patrolling and controlling (TTKS) to ensure the road traffic safety and safety within the area and localities assigned (Clause 2, Article 6);Detecting and promptly preventing and strictly handling violations of road traffic safety and other violations as prescribed by law, including violations of stopping and returning passengers at the prescribed places as recommended by voters.

- For recommendations on the construction of the information linkage system in the traffic police for sanctioning of violations to update the violation information of administrative violations: The Ministry of Public Security has built and deployed a database system to handle violations, and connect and share driving license data, look up violating transport vehicles through the image on the image on the website of CSGT.vn.All relevant people and agencies and organizations can visit this website to look up information on violations and the results of handling administrative violations on traffic safety.In addition, implementing the Prime Minister's Decision No. 274/QD-TTg of March 12, 2019, approving the National Public Service Portal in the People's Public Security Forces, from July 1, 2020, the Ministry of Public Security has implemented synchronously to the traffic police departments of 63 provinces and cities directly under the Central Government, proceeding to deploy to the district police nationwide.

In order to improve the efficiency of state management, and at the same time meet the requirements of the e -government in the field of traffic safety and safety, the Ministry of Public Security is researching and building a shared database on traffic safety, including data handling administrative violations to share with ministries and branches serving traffic safety assurance."
"Recently, there were a number of drivers after causing a traffic accident, taking advantage of the deserted road that drove away to wear victims at the scene.I want to ask the Ministry of Public Security, how will the act of fleeing the driver after causing a traffic accident will be handled?In case of escape and causing injury to what percentage will be examined for penal liability?If the victim has an application for a complaint, how will the driver cause an accident?","* In Clause 17, Article 8 of the 2008 Road Traffic Law stipulates: It is strictly forbidden to escape after causing an accident to evade responsibility.

* In the Government's Decree No. 100/2019/ND-CP of December 30, 2019, on sanctioning administrative violations in the field of road and railway traffic, the driver of the vehicle commits the act of ""causing traffic accidents does not stop, does not keep the scene, fled without reporting to the competent authority, does not participate in the emergency of the victim"" being sanctioned as follows:

- For drivers of cars and vehicles similar to cars: a fine of between VND 16,000,000 and VND 18,000,000;Deprivation of the right to use the driving license from 05 months to 07 months.

- For motorcyclists and motorbikes (including electric motorbikes), vehicles similar to motorcycles and similar vehicles: a fine of between VND 6,000,000 and VND 8,000,000;Deprivation of the right to use the driver's license from 03 months to 5 months.

- For operators of tractors and special -use motorbikes: A fine of between VND 10,000,000 and VND 12,000,000;Deprivation of the right to use the driving license (when controlling the tractor), the certificate of fostering legal knowledge on road traffic (when driving a special -use motorbike) from 05 months to 07 months.

- For drivers of bicycles, engine bicycles (including electric bicycles), other rudimentary drivers: a fine of between VND 400,000 and VND 600,000.

* Regarding cases of criminal liability, Article 260 of the 2015 Penal Code (amended and supplemented in 2017) specifies ""Crime of violating regulations on road traffic"" as follows:

""1. Those who participate in road traffic that violate the regulations on road traffic safety belonging to one of the following cases are fined from VND 30,000,000 to VND 100,000,000, non -custodial reform for up to 03 years or prison terms from 01 year to 5 years:

a) Deading 01 person or causing injury or harm to the health of 01 person with the body damage rate 61% or more;

b) Causing injury or harm to the health of 02 people with the rate of body damage of each person from 31% to 60%;

c) Causing injury or harm to health for 03 people or more, the total rate of body damage of these people is from 61% to 121%;

d) Causing property damage from VND 100,000,000 to under VND 500,000,000.

2. The crime belongs to one of the following cases, the imprisonment is from 03 years to 10 years:

a) There is no driving license as prescribed;

b) In the state of using alcohol, beer, in the blood or breath, there is alcohol content in excess of the prescribed level or the use of narcotic substances or other strong stimulants that the law banned from use;

c) Causing accidents and then running away to avoid responsibility or intentionally not to save the victims;

d) Failing to obey the command of the driver or traffic guidance;

d) killing 02 people;

e) Causing injury or harm to the health of 02 people with the rate of body damage of each person 61% or more;

g) Causing injury or harm to the health of 03 people or more, the total number of body damage of these people is from 122% to 200%;

h) Causing property damage from VND 500,000,000 to under VND 1,500,000,000.

3. The crime belongs to one of the following schools, the imprisonment is from 07 years to 15 years:

a) Death 03 people or more;

b) Causing injury or harm to the health of 03 people with the rate of body damage of each person 61% or more;

c) Causing injury or harm to the health of 03 or more people with the total rate of body damage of these people 201% or more;

d) Causing property damage of VND 1,500,000,000 or more.

4. Road roads that violate the regulations on road traffic safety causing injury or harm to the health of 01 person with the body damage rate of between 31% to 60% or cause injury or damage to the health of 02 or more people with the total rate of body damage of these people from 31% to 60%, the fine is from 30,000,000 VND to 100,000,000 VND or improved by 03 years.

5. Violation of regulations on road traffic safety that has the actual ability to lead to damage to the life, health or property of others if not prevented in time, shall be fined from VND 10,000,000 to VND 50,000,000, non -custodial reform for up to 01 year or a prison term of between 03 months to 01 year.

6. Offenders may also be banned from taking on positions, banned from practicing or doing certain jobs from 01 year to 05 years. ""

In case the victim has an application for a complaint but the driver causes an accident with signs of crime, he is still examined for penal liability in accordance with the law."
